Date,Year,Region,Manufacturer,Powertrain,Sales
2015-01-01,2015,China,Tesla,PHEV,43
2015-01-02,2015,China,Others,BEV,26
2015-01-02,2015,Europe,Others,BEV,14
2015-01-02,2015,China,BYD,BEV,48
2015-01-02,2015,China,Tesla,BEV,33
2015-01-02,2015,North America,Tesla,BEV,20
2015-01-03,2015,China,Others,PHEV,28
2015-01-03,2015,Europe,Rivian,BEV,3
2015-01-04,2015,Europe,NIO,BEV,1
2015-01-05,2015,China,Volkswagen,PHEV,15
2015-01-06,2015,China,NIO,BEV,9
2015-01-06,2015,North America,General Motors,BEV,72
2015-01-07,2015,China,NIO,PHEV,57
2015-01-08,2015,Europe,Ford,BEV,55
2015-01-08,2015,China,General Motors,PHEV,36
2015-01-08,2015,China,BYD,BEV,39
2015-01-10,2015,North America,NIO,BEV,1
2015-01-10,2015,North America,BYD,BEV,48
2015-01-10,2015,North America,Tesla,BEV,60
2015-01-10,2015,China,Others,BEV,15
2015-01-10,2015,North America,Tesla,BEV,50
2015-01-11,2015,China,General Motors,BEV,42
2015-01-11,2015,North America,Ford,PHEV,82
2015-01-11,2015,North America,Tesla,PHEV,40
2015-01-12,2015,China,Others,BEV,27
2015-01-12,2015,North America,Rivian,BEV,2
2015-01-12,2015,North America,Ford,BEV,84
2015-01-12,2015,Europe,Volkswagen,PHEV,72
2015-01-12,2015,North America,General Motors,BEV,68
2015-01-13,2015,North America,Hyundai,BEV,48
2015-01-13,2015,Rest of World,Tesla,BEV,27
2015-01-14,2015,Europe,Ford,BEV,39
2015-01-14,2015,China,Others,BEV,6
2015-01-16,2015,Europe,Rivian,PHEV,3
2015-01-16,2015,China,BYD,PHEV,30
2015-01-17,2015,China,Tesla,BEV,24
2015-01-17,2015,China,Tesla,BEV,38
2015-01-17,2015,Rest of World,General Motors,BEV,29
2015-01-19,2015,China,Tesla,BEV,31
2015-01-19,2015,North America,Tesla,BEV,12
2015-01-19,2015,North America,General Motors,BEV,43
2015-01-19,2015,Europe,NIO,PHEV,4
2015-01-19,2015,North America,General Motors,PHEV,46
2015-01-19,2015,North America,Others,BEV,9
2015-01-19,2015,China,Hyundai,BEV,16
2015-01-19,2015,China,NIO,BEV,33
2015-01-19,2015,Europe,Ford,BEV,39
2015-01-20,2015,Europe,Volkswagen,BEV,68
2015-01-21,2015,North America,Hyundai,BEV,20
2015-01-21,2015,Europe,NIO,PHEV,1
2015-01-22,2015,North America,Hyundai,PHEV,13
2015-01-22,2015,China,NIO,PHEV,13
2015-01-22,2015,Europe,NIO,BEV,2
2015-01-22,2015,North America,General Motors,BEV,57
2015-01-22,2015,North America,General Motors,BEV,10
2015-01-22,2015,Europe,Ford,PHEV,82
2015-01-23,2015,China,Hyundai,BEV,19
2015-01-23,2015,Europe,Tesla,BEV,87
2015-01-25,2015,North America,General Motors,PHEV,16
